pair,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY,USDCNH,USDHUF,USDMXN,USDPLN,USDTRY,USDZAR
AUDUSD,1.0,0.6394293317974618,0.5609990391932891,0.960079434753729,0.716605677209254,0.531836762024445,0.5983327465978707,0.3729452546109737,0.5915613069952053,0.5414549985641501,0.6105212085802797,0.20616698240207318,0.5004732316368393
EURUSD,0.6394293317974618,1.0,0.6337392386055352,0.6378355816721244,0.6415774283089171,0.8141686648554737,0.5459926797596606,0.25920613194045466,0.751320882815904,0.47104266407929973,0.7688892692344383,0.17132537559092387,0.39723319986813466
GBPUSD,0.5609990391932891,0.6337392386055352,1.0,0.553996652708061,0.539481224280113,0.4986304708377084,0.4335318492039893,0.22933158846920562,0.516438336440969,0.4083427159584762,0.5606113235336331,0.13814722940914023,0.38642890126581947
NZDUSD,0.960079434753729,0.6378355816721244,0.553996652708061,1.0,0.7105636369866699,0.5354009241938142,0.5848211399385986,0.36650496307935443,0.5866556943627921,0.5320105496188278,0.6045559091491252,0.2018413461418156,0.48656968211529805
USDCAD,0.716605677209254,0.6415774283089171,0.539481224280113,0.7105636369866699,1.0,0.5426882695065779,0.5725195379887461,0.2959953783690532,0.5407494259314737,0.563197518766862,0.5711316352468864,0.1884162303321142,0.4406642256925563
USDCHF,0.531836762024445,0.8141686648554737,0.4986304708377084,0.5354009241938142,0.5426882695065779,1.0,0.49260188773634883,0.2141491815531311,0.6299013325667709,0.4054002733721475,0.6441148622491328,0.13704487539046747,0.325043622988231
USDJPY,0.5983327465978707,0.5459926797596606,0.4335318492039893,0.5848211399385986,0.5725195379887461,0.49260188773634883,1.0,0.274254428200324,0.46389773752763774,0.44597204279227415,0.5044997337524405,0.15646227371469557,0.38830129305130434
USDCNH,0.3729452546109737,0.25920613194045466,0.22933158846920562,0.36650496307935443,0.2959953783690532,0.2141491815531311,0.274254428200324,1.0,0.25113101219677764,0.24041088089238521,0.27869915242322013,0.08457113036596152,0.22921886394202656
USDHUF,0.5915613069952053,0.751320882815904,0.516438336440969,0.5866556943627921,0.5407494259314737,0.6299013325667709,0.46389773752763774,0.25113101219677764,1.0,0.48342700311703096,0.7863032382936959,0.2261535152343558,0.46631644218957474
USDMXN,0.5414549985641501,0.47104266407929973,0.4083427159584762,0.5320105496188278,0.563197518766862,0.4054002733721475,0.44597204279227415,0.24041088089238521,0.48342700311703096,1.0,0.4889710002094928,0.21925625682042274,0.4650189115833586
USDPLN,0.6105212085802797,0.7688892692344383,0.5606113235336331,0.6045559091491252,0.5711316352468864,0.6441148622491328,0.5044997337524405,0.27869915242322013,0.7863032382936959,0.4889710002094928,1.0,0.23331939769622412,0.4864464789952323
USDTRY,0.20616698240207318,0.17132537559092387,0.13814722940914023,0.2018413461418156,0.1884162303321142,0.13704487539046747,0.15646227371469557,0.08457113036596152,0.2261535152343558,0.21925625682042274,0.23331939769622412,1.0,0.30286496545481045
USDZAR,0.5004732316368393,0.39723319986813466,0.38642890126581947,0.48656968211529805,0.4406642256925563,0.325043622988231,0.38830129305130434,0.22921886394202656,0.46631644218957474,0.4650189115833586,0.4864464789952323,0.30286496545481045,1.0
