pair,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY,USDCNH,USDHUF,USDMXN,USDPLN,USDTRY,USDZAR
AUDUSD,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
EURUSD,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
GBPUSD,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
NZDUSD,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
USDCAD,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
USDCHF,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
USDJPY,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
USDCNH,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,3974,3972
USDHUF,4288,4288,4288,4288,4288,4288,4288,3974,4288,4286,4288,4288,4286
USDMXN,4289,4289,4289,4289,4289,4289,4289,3974,4286,4289,4289,4289,4287
USDPLN,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
USDTRY,4291,4291,4291,4291,4291,4291,4291,3974,4288,4289,4291,4291,4289
USDZAR,4289,4289,4289,4289,4289,4289,4289,3972,4286,4287,4289,4289,4289
