role,quote_type,cell_records,observed_count,missing_rate,mean,std,median,p10,p90,median_spread,p90_spread
source,ATM,150220,150220,0.0,9.132718003594729,2.699565776588614,8.7775,6.07,12.6825,0.450000000000001,1.2400000000000002
source,25D_RR,150220,150220,0.0,-0.74947064305685,1.2246517478346648,-0.71,-2.185,0.695,0.325,0.8899999999999999
source,25D_BF,150220,150217,1.9970709625893868e-05,0.30485076589200955,0.15964384685295316,0.275,0.145,0.49849999999998545,0.235,0.64
source,10D_RR,150220,150192,0.00018639328984160208,-1.4230279575476723,2.3073280810304744,-1.315,-4.11,1.25,0.5550000000000006,1.5299999999999998
source,10D_BF,150220,150180,0.00026627612834506653,0.9761244340125182,0.5518520209952947,0.855,0.435,1.66,0.3749999999999999,1.015
target,ATM,128760,127163,0.012402920161540876,12.130924596777366,5.649253959998812,11.845,5.245,18.3025,1.049999999999999,2.995000000000001
target,25D_RR,128760,127039,0.01336595215905556,2.742386452191847,2.4083658131984516,2.2025,0.605,5.21,0.75,2.1
target,25D_BF,128760,126956,0.014010562286424388,0.6009794732033145,0.4543981647359207,0.49,0.23,1.0175,0.54,1.5
target,10D_RR,128760,126867,0.01470177073625345,5.138755153034281,4.689434005748422,4.0925,1.09,9.6825,1.2899999999999998,3.6000000000000014
target,10D_BF,128760,126873,0.014655172413793105,1.893022313652235,1.3548648461345885,1.5675,0.79,3.085,0.865,2.4
