month,role,atm_median,spread_median,observations
2010-01-01,source,12.73,0.4749999999999996,147
2010-01-01,target,17.1,1.2499999999999982,105
2010-02-01,source,12.342500000000001,0.4799999999999986,140
2010-02-01,target,16.9875,1.1499999999999986,100
2010-03-01,source,11.65,0.4000000000000003,161
2010-03-01,target,14.64,1.0000000000000018,115
2010-04-01,source,11.29375,0.4000000000000003,154
2010-04-01,target,13.969999999999999,1.0,110
2010-05-01,source,14.3725,0.625,147
2010-05-01,target,17.118,1.5,105
2010-06-01,source,13.785,0.5999999999999996,154
2010-06-01,target,17.64875,1.0050000000000026,110
2010-07-01,source,12.462499999999999,0.5050000000000008,154
2010-07-01,target,15.7425,1.004999999999999,110
2010-08-01,source,11.99,0.4499999999999993,154
2010-08-01,target,14.86125,0.6550000000000011,110
2010-09-01,source,11.91625,0.3999999999999986,154
2010-09-01,target,14.04125,0.504999999999999,110
2010-10-01,source,12.8175,0.3850000000000015,147
2010-10-01,target,14.73,0.5050000000000008,105
2010-11-01,source,12.75,0.3925000000000009,154
2010-11-01,target,14.805,0.5,110
2010-12-01,source,12.125,0.4000000000000003,161
2010-12-01,target,14.3825,0.5749999999999993,113
2011-01-01,source,11.8275,0.3800000000000008,147
2011-01-01,target,14.3125,0.5500000000000007,105
2011-02-01,source,11.07,0.3499999999999996,140
2011-02-01,target,14.175,0.7899999999999991,104
2011-03-01,source,11.1425,0.4000000000000003,161
2011-03-01,target,13.56,0.7850000000000001,135
2011-04-01,source,11.2125,0.3800000000000008,147
2011-04-01,target,13.095,0.7899999999999991,117
2011-05-01,source,12.0425,0.3999999999999986,154
2011-05-01,target,13.42625,0.7150000000000007,132
2011-06-01,source,11.815,0.3850000000000007,154
2011-06-01,target,14.0275,0.7024999999999997,132
2011-07-01,source,11.7775,0.4000000000000003,147
2011-07-01,target,13.865,0.6749999999999998,126
2011-08-01,source,13.2625,0.5,161
2011-08-01,target,16.85125,0.7925000000000004,138
2011-09-01,source,15.25875,0.5050000000000008,154
2011-09-01,target,18.46,1.1050000000000004,132
2011-10-01,source,14.6975,0.6999999999999993,147
2011-10-01,target,21.5365,1.5199999999999996,126
2011-11-01,source,15.7275,0.6000000000000014,154
2011-11-01,target,22.1265,1.3900000000000006,132
2011-12-01,source,14.2775,0.5999999999999996,154
2011-12-01,target,20.1175,1.3825000000000007,132
2012-01-01,source,12.26,0.5,154
2012-01-01,target,16.055,1.2400000000000002,132
2012-02-01,source,10.99,0.4949999999999992,147
2012-02-01,target,14.87025,0.9700000000000006,126
