pair,role,date_start,date_end,daily_matrices,cell_records,observed_last_count,missing_last_count,missing_last_rate,midpoint_flag_count,midpoint_flag_rate,complete_matrices,complete_matrix_rate,median_spread,p90_spread
AUDUSD,source,2010-01-01,2026-06-15,4292,107300,107300,0,0.0,1,9.319664492078285e-06,4292,1.0,0.3999999999999994,1.0
EURUSD,source,2010-01-01,2026-06-15,4292,107300,107299,1,9.319664492078285e-06,10,9.319664492078285e-05,4291,0.999767008387698,0.2599999999999998,0.78
GBPUSD,source,2010-01-01,2026-06-15,4292,107300,107300,0,0.0,3,2.7958993476234854e-05,4292,1.0,0.4699999999999997,1.26
NZDUSD,source,2010-01-01,2026-06-15,4292,107300,107274,26,0.0002423112767940354,3,2.7958993476234854e-05,4266,0.9939422180801492,0.5250000000000001,1.345
USDCAD,source,2010-01-01,2026-06-15,4292,107300,107293,7,6.523765144454799e-05,4,3.727865796831314e-05,4285,0.9983690587138863,0.35,0.9400000000000002
USDCHF,source,2010-01-01,2026-06-15,4292,107300,107263,37,0.0003448275862068965,35,0.00032618825722274,4257,0.9918452935694315,0.435,1.165
USDJPY,source,2010-01-01,2026-06-15,4292,107300,107300,0,0.0,11,0.00010251630941286114,4292,1.0,0.3399999999999998,1.0
USDCNH,target,2010-01-01,2026-06-15,4292,107300,98878,8422,0.07849021435228332,38,0.00035414725069897484,3891,0.9065703634669152,0.355,0.96
USDHUF,target,2010-01-01,2026-06-15,4292,107300,107104,196,0.001826654240447344,17,0.00015843429636533084,4212,0.9813606710158435,1.4200000000000002,3.195
USDMXN,target,2010-01-01,2026-06-15,4292,107300,107272,28,0.00026095060577819196,7,6.523765144454799e-05,4288,0.9990680335507922,0.7149999999999999,1.89
USDPLN,target,2010-01-01,2026-06-15,4292,107300,107277,23,0.00021435228331780055,6,5.591798695246971e-05,4269,0.994641192917055,1.035,2.305
USDTRY,target,2010-01-01,2026-06-15,4292,107300,107295,5,4.659832246039143e-05,2,1.863932898415657e-05,4288,0.9990680335507922,1.245,4.125
USDZAR,target,2010-01-01,2026-06-15,4292,107300,107072,228,0.002124883504193849,1,9.319664492078285e-06,4261,0.9927772600186393,0.8700000000000001,2.25
