model,gap_length_weekdays,mae,rmse,mean_abs_error_to_spread,within_spread_rate,within_half_spread_rate,evaluated_blocks,count
previous_surface,1,0.0843086602484497,0.20495381707607196,0.06026008490172824,0.9985416666666667,0.9898177083333334,3840,38400
previous_surface,5,0.15273126431188763,0.3728225723207532,0.11124147861268231,0.9917243186582809,0.9625104821802934,3816,190800
previous_surface,10,0.21543361138969383,0.5321511390660773,0.15663136135920822,0.9814976228209191,0.9313497094558901,3786,378600
previous_surface,17,0.285020009086458,0.7040880610375873,0.2048414371225484,0.9674066742081447,0.8977831196581196,3744,636480
dealer_sticky,1,0.10678424757674748,0.2117261782387351,0.09199415459445616,0.9965625,0.9821614583333333,3840,38400
dealer_sticky,5,0.17045886106237298,0.37325090766896946,0.13700731651739675,0.9897851153039833,0.9536740041928721,3816,190800
dealer_sticky,10,0.23096031285707574,0.5311564378406114,0.17938652040567482,0.9795245641838352,0.9212150026413101,3786,378600
dealer_sticky,17,0.29929043255041216,0.7030179651339867,0.22560957390115716,0.9650216817496229,0.8864756158873806,3744,636480
static_pca_5_components,1,0.4064238597660172,0.8535671568085468,0.3051739367868406,0.9386458333333333,0.810703125,3840,38400
static_pca_5_components,5,0.4066335063021499,0.8541988487995525,0.30521596642467197,0.9386477987421383,0.8105922431865829,3816,190800
static_pca_5_components,10,0.40689486122518653,0.8549905612556944,0.30525498957260305,0.9385868991019546,0.8104543053354464,3786,378600
static_pca_5_components,17,0.4073264993899067,0.856165791868084,0.305332559220397,0.9385306686777275,0.8101684263448969,3744,636480
dynamic_pca,1,0.3684980141659151,0.6903488888565356,0.25499785948833453,0.9716666666666667,0.863828125,3840,38400
dynamic_pca,5,0.39878099133452527,0.7529352543791417,0.27733289177682857,0.9627620545073375,0.8421960167714885,3816,190800
dynamic_pca,10,0.43513213946128865,0.8399369219965224,0.3037083771734607,0.9515187533016376,0.8195377707342842,3786,378600
dynamic_pca,17,0.4813855032415816,0.9539011981317094,0.3362323426012468,0.9378440799396682,0.7929660005027652,3744,636480
