regime,model,bucket,surfaces,count,mae,rmse,error_to_spread,within_spread_rate
high_spot_move,dealer_sticky,normal,3268,32680,0.10206663606691115,0.2701222995570829,0.08054525009128197,0.9983476132190943
high_spot_move,dealer_sticky,stressed,578,5780,0.15500875432525926,0.28003955131696484,0.17137225689469157,0.9830449826989619
high_spot_move,pca_5_components,normal,3268,32680,0.4415729040878417,0.9175284866773836,0.3096110040456135,0.9361689106487148
high_spot_move,pca_5_components,stressed,578,5780,0.2066130732681901,0.28697541847747016,0.27980838377664075,0.9529411764705882
high_spot_move,lagged_transfer_vae,normal,3268,32680,0.2557040679360873,0.6403634999331189,0.12648122941856396,0.9886474908200734
high_spot_move,lagged_transfer_vae,stressed,578,5780,0.09401354218742916,0.16531570474086094,0.10991020347630882,0.9916955017301038
wide_vol_spread,dealer_sticky,normal,2873,28730,0.08412323471400371,0.1567964380626441,0.09733531225196966,0.9960320222763661
wide_vol_spread,dealer_sticky,stressed,973,9730,0.18649822541966413,0.4680413561644713,0.08492362762953125,0.9960945529290853
wide_vol_spread,pca_5_components,normal,2873,28730,0.19592126608499327,0.2597823551018392,0.2677148241377525,0.9615384615384616
wide_vol_spread,pca_5_components,stressed,973,9730,1.0273389614037955,1.6362118155677299,0.4156149201399677,0.8712230215827338
wide_vol_spread,lagged_transfer_vae,normal,2873,28730,0.07254090744146563,0.1197820566590045,0.08634476914396055,0.9965193177862861
wide_vol_spread,lagged_transfer_vae,stressed,973,9730,0.7004837557247037,1.1623898157626793,0.23514926371898734,0.9672147995889003
lower_liquidity_pair,dealer_sticky,normal,1923,19230,0.0927330785231411,0.1767118487645598,0.12569799855575017,0.9934477379095163
lower_liquidity_pair,dealer_sticky,stressed,1923,19230,0.12731311319119468,0.34109380678595475,0.06269255879393329,0.9986479459178367
lower_liquidity_pair,pca_5_components,normal,1923,19230,0.23249819838719288,0.29809639941346927,0.3682455761359927,0.9408736349453978
lower_liquidity_pair,pca_5_components,stressed,1923,19230,0.5800252581432691,1.1690038669795755,0.24201859809383394,0.9365054602184087
lower_liquidity_pair,lagged_transfer_vae,normal,1923,19230,0.0888885848128028,0.14377905092971854,0.11798520400995473,0.9943837753510141
lower_liquidity_pair,lagged_transfer_vae,stressed,1923,19230,0.37391990265441893,0.8272959783774758,0.12999646803849643,0.9838273530941237
