model,gap_length_weekdays,mae,rmse,error_to_spread,within_spread_rate,within_half_spread_rate,evaluated_blocks,hidden_quotes
dealer_sticky,1,0.10678424757674748,0.21172617823872525,0.09199415459445699,0.9965625,0.9821614583333333,3840,38400
dealer_sticky,5,0.17045886106237298,0.3732509076689644,0.13700731651739512,0.9897851153039833,0.9536740041928721,3816,190800
dealer_sticky,10,0.23096031285707574,0.5311564378406491,0.1793865204056717,0.9795245641838352,0.9212150026413101,3786,378600
dealer_sticky,17,0.29929043255041216,0.7030179651342021,0.22560957390114664,0.9650216817496229,0.8864756158873806,3744,636480
pca_5_components,1,0.4064238597660172,0.8535671568085527,0.3051739367868385,0.9386458333333333,0.810703125,3840,38400
pca_5_components,5,0.4066335063021499,0.8541988487995724,0.30521596642466614,0.9386477987421383,0.8105922431865829,3816,190800
pca_5_components,10,0.40689486122518653,0.8549905612556952,0.30525498957262254,0.9385868991019546,0.8104543053354464,3786,378600
pca_5_components,17,0.4073264993899067,0.8561657918681606,0.3053325592204134,0.9385306686777275,0.8101684263448969,3744,636480
unlagged_transfer_vae,1,0.5130642656613297,1.1212144788390392,0.33633196040750746,0.9290104166666666,0.8050520833333333,3840,38400
unlagged_transfer_vae,5,0.5131335002426018,1.1211554546991112,0.3363525566853435,0.9290566037735849,0.8050104821802935,3816,190800
unlagged_transfer_vae,10,0.5132631577218588,1.1210706481738713,0.336454312088608,0.9290887480190174,0.8048864236661384,3786,378600
unlagged_transfer_vae,17,0.5135615959536849,1.1210696568450784,0.33665587812635894,0.9291430995475113,0.8045641654097536,3744,636480
strict_lagged_transfer_vae,1,0.24061717343237737,0.6070673874475276,0.12820310218874467,0.9865885416666667,0.94171875,3840,38400
strict_lagged_transfer_vae,5,1.0259309308329134,2.122031845415347,0.7025882408612596,0.7514465408805031,0.565,3816,190800
strict_lagged_transfer_vae,10,1.3265981364511474,2.693428187000153,0.9255967917343431,0.6751637612255679,0.46134706814580034,3786,378600
strict_lagged_transfer_vae,17,1.4521831074097684,2.8985960973854406,1.017194332114073,0.643487619406737,0.41805398441427855,3744,636480
leaky_lagged_transfer_vae,1,0.24061717343237737,0.6070673874475276,0.12820310218874467,0.9865885416666667,0.94171875,3840,38400
leaky_lagged_transfer_vae,5,0.24070638757878993,0.6072830767139177,0.12828174212012414,0.9865408805031447,0.9416666666666667,3816,190800
leaky_lagged_transfer_vae,10,0.24090369264271486,0.6076836736796019,0.12845152587874262,0.9864949815108294,0.9415847860538827,3786,378600
leaky_lagged_transfer_vae,17,0.24130011965885423,0.6084800845500773,0.1287283058867725,0.986431623931624,0.9414357088989442,3744,636480
