model,gap_length_weekdays,mae,rmse,error_to_spread,within_spread_rate,within_half_spread_rate,evaluated_blocks,hidden_quotes
previous_surface,1,0.0843086602484497,0.20495381707607196,0.06026008490172824,0.9985416666666667,0.9898177083333334,3840,38400
previous_surface,5,0.15273126431188763,0.3728225723207532,0.11124147861268231,0.9917243186582809,0.9625104821802934,3816,190800
previous_surface,10,0.21543361138969383,0.5321511390660773,0.15663136135920822,0.9814976228209191,0.9313497094558901,3786,378600
previous_surface,17,0.285020009086458,0.7040880610375873,0.2048414371225484,0.9674066742081447,0.8977831196581196,3744,636480
dealer_sticky,1,0.10678424757674748,0.2117261782387351,0.09199415459445616,0.9965625,0.9821614583333333,3840,38400
dealer_sticky,5,0.17045886106237298,0.37325090766896946,0.13700731651739675,0.9897851153039833,0.9536740041928721,3816,190800
dealer_sticky,10,0.23096031285707574,0.5311564378406114,0.17938652040567482,0.9795245641838352,0.9212150026413101,3786,378600
dealer_sticky,17,0.29929043255041216,0.7030179651339867,0.22560957390115716,0.9650216817496229,0.8864756158873806,3744,636480
pca_5_components,1,0.4064238597660172,0.8535671568085468,0.3051739367868406,0.9386458333333333,0.810703125,3840,38400
pca_5_components,5,0.4066335063021499,0.8541988487995525,0.30521596642467197,0.9386477987421383,0.8105922431865829,3816,190800
pca_5_components,10,0.40689486122518653,0.8549905612556944,0.30525498957260305,0.9385868991019546,0.8104543053354464,3786,378600
pca_5_components,17,0.4073264993899067,0.856165791868084,0.305332559220397,0.9385306686777275,0.8101684263448969,3744,636480
single_date_target_only_vae,1,0.2058013793954645,0.4885771576188031,0.11097450820075468,0.9970052083333333,0.9646614583333334,3840,38400
single_date_target_only_vae,5,1.011307205635248,2.1634714553214485,0.7086784400045961,0.7482389937106918,0.5899318658280922,3816,190800
single_date_target_only_vae,10,1.3043268317494339,2.681794273019955,0.9111732496700037,0.6833676703645007,0.5020919175911251,3786,378600
single_date_target_only_vae,17,1.4236440738601877,2.8687890420083586,0.9902957096946937,0.6575838989441931,0.4665346907993967,3744,636480
single_date_transfer_vae,1,0.21887911091546508,0.5615443383584577,0.1155502587729255,0.9896354166666667,0.9509895833333334,3840,38400
single_date_transfer_vae,5,1.1149682747008742,2.338024027477873,0.7907708314728185,0.7172955974842767,0.5540932914046122,3816,190800
single_date_transfer_vae,10,1.4181264009292749,2.868242662447005,1.00615707002726,0.6476360274696249,0.4587083993660856,3786,378600
single_date_transfer_vae,17,1.544201438680956,3.0604027745065743,1.0950348276483157,0.618289655605832,0.4186573026646556,3744,636480
outage_curriculum_target_only_vae,1,0.32344157195053413,0.7456544324132326,0.18322246005205872,0.97734375,0.9110416666666666,3840,38400
outage_curriculum_target_only_vae,5,0.4002348414722506,0.9144164271196229,0.23308985605090865,0.9593815513626834,0.8802358490566038,3816,190800
outage_curriculum_target_only_vae,10,0.4457214924360847,1.0056407134683496,0.2674147468869836,0.949756999471738,0.8505361859482303,3786,378600
outage_curriculum_target_only_vae,17,0.46423716634989654,1.039562458328711,0.28182661159502165,0.9456715057817999,0.837702677224736,3744,636480
outage_curriculum_transfer_vae,1,0.34013869258267126,0.7850930522062204,0.1923327828620295,0.97203125,0.9080729166666667,3840,38400
outage_curriculum_transfer_vae,5,0.40806936197027277,0.9432153615617469,0.2369366126049853,0.9561111111111111,0.8756446540880504,3816,190800
outage_curriculum_transfer_vae,10,0.43728653159008024,0.9953413909074197,0.25967265099045606,0.9496724775488642,0.8555995773903856,3786,378600
outage_curriculum_transfer_vae,17,0.44923920968894676,1.0142092412533028,0.2696061851510204,0.9468451483157365,0.8463989441930618,3744,636480
